node1,node2,tstart,tend,line
Walthamstow Central,Blackhorse Road,842,844,Victoria line to Blackhorse Road
Blackhorse Road,Tottenham Hale,847,848,Victoria line to Tottenham Hale
Tottenham Hale,Seven Sisters,851,852,Victoria line to Seven Sisters
Seven Sisters,Finsbury Park,853,856,Victoria line to Finsbury Park
Finsbury Park,Highbury & Islington,857,858,Victoria line to Highbury & Islington
Highbury & Islington,King's Cross St. Pancras,859,861,Victoria line to King's Cross St.Pancras
King's Cross St. Pancras,Euston,862,863,Northern line or Victoria line to Euston
Euston,Warren Street,863,864,Victoria line or Northern line to Warren Street
Warren Street,Oxford Circus,865,866,Victoria line to Oxford Circus
Oxford Circus,Green Park,869,870,Victoria line to Green Park
Green Park,Victoria,873,874,Victoria line to Victoria
Victoria,Pimlico,875,876,Victoria line to Pimlico
Pimlico,Vauxhall,879,880,Victoria line to Vauxhall
Vauxhall,Stockwell,883,884,Victoria line to Stockwell
Stockwell,Brixton,885,887,Victoria line to Brixton
Brixton,Stockwell,842,844,Victoria line to Stockwell
Stockwell,Vauxhall,847,848,Victoria line to Vauxhall
Vauxhall,Pimlico,851,852,Victoria line to Pimlico
Pimlico,Victoria,855,856,Victoria line to Victoria
Victoria,Green Park,859,860,Victoria line to Green Park
Green Park,Oxford Circus,861,862,Victoria line to Oxford Circus
Oxford Circus,Warren Street,863,864,Victoria line to Warren Street
Warren Street,Euston,867,868,Victoria line or Northern line to Euston
Euston,King's Cross St. Pancras,871,872,Victoria line or Northern line to King's Cross St.Pancras
King's Cross St. Pancras,Highbury & Islington,874,877,Victoria line to Highbury & Islington
Highbury & Islington,Finsbury Park,879,881,Victoria line to Finsbury Park
Finsbury Park,Seven Sisters,884,887,Victoria line to Seven Sisters
Seven Sisters,Tottenham Hale,888,889,Victoria line to Tottenham Hale
Tottenham Hale,Blackhorse Road,892,893,Victoria line to Blackhorse Road
Blackhorse Road,Walthamstow Central,894,896,Victoria line to Walthamstow Central
Hainault,Fairlop,851,852,Central line to Fairlop
Fairlop,Barkingside,858,859,Central line to Barkingside
Barkingside,Newbury Park,868,870,Central line to Newbury Park
Newbury Park,Gants Hill,875,878,Central line to Gants Hill
Gants Hill,Redbridge,883,885,Central line to Redbridge
Redbridge,Wanstead,889,891,Central line to Wanstead
Wanstead,Leytonstone,894,896,Central line to Leytonstone
Leytonstone,Leyton,897,899,Central line to Leyton
Leyton,Stratford,902,904,Central line to Stratford
Stratford,Mile End,907,910,Central line to Mile End
Mile End,Bethnal Green,912,915,Central line to Bethnal Green
Bethnal Green,Liverpool Street,917,920,Central line to Liverpool Street
Liverpool Street,Bank,923,924,Central line to Bank
Bank,St. Paul's,925,926,Central line to St. Paul's
St. Paul's,Chancery Lane,929,930,Central line to Chancery Lane
Chancery Lane,Holborn,931,932,Central line to Holborn
Holborn,Tottenham Court Road,934,936,Central line to Tottenham Court Road
Tottenham Court Road,Oxford Circus,938,939,Central line to Oxford Circus
Oxford Circus,Bond Street,942,943,Central line to Bond Street
Bond Street,Marble Arch,946,947,Central line to Marble Arch
Marble Arch,Lancaster Gate,949,951,Central line to Lancaster Gate
Lancaster Gate,Queensway,954,955,Central line to Queensway
Queensway,Notting Hill Gate,958,959,Central line to Notting Hill Gate
Notting Hill Gate,Holland Park,962,963,Central line to Holland Park
Holland Park,Shepherd's Bush (Central),965,967,Central line to Shepherd's Bush (Central Line) Underground Stn
Shepherd's Bush (Central),White City,969,972,Central line to White City
White City,East Acton,973,975,Central line to East Acton
East Acton,North Acton,976,977,Central line to North Acton
North Acton,West Acton,985,987,Central line to West Acton
West Acton,Ealing Broadway,994,997,Central line to Ealing Broadway
Ealing Broadway,West Acton,854,855,Central line to West Acton
West Acton,North Acton,861,863,Central line to North Acton
North Acton,East Acton,866,868,Central line to East Acton
East Acton,White City,873,876,Central line to White City
White City,Shepherd's Bush (Central),879,881,Central line to Shepherd's Bush (Central Line) Underground Stn
Shepherd's Bush (Central),Holland Park,884,886,Central line to Holland Park
Holland Park,Notting Hill Gate,889,890,Central line to Notting Hill Gate
Notting Hill Gate,Queensway,893,894,Central line to Queensway
Queensway,Lancaster Gate,897,898,Central line to Lancaster Gate
Lancaster Gate,Marble Arch,901,903,Central line to Marble Arch
Marble Arch,Bond Street,906,906,Central line to Bond Street
Bond Street,Oxford Circus,909,910,Central line to Oxford Circus
Oxford Circus,Tottenham Court Road,913,914,Central line to Tottenham Court Road
Tottenham Court Road,Holborn,917,919,Central line to Holborn
Holborn,Chancery Lane,922,922,Central line to Chancery Lane
Chancery Lane,St. Paul's,925,927,Central line to St. Paul's
St. Paul's,Bank,930,931,Central line to Bank
Bank,Liverpool Street,934,936,Central line to Liverpool Street
Liverpool Street,Bethnal Green,939,941,Central line to Bethnal Green
Bethnal Green,Mile End,944,946,Central line to Mile End
Mile End,Stratford,949,952,Central line to Stratford
Stratford,Leyton,955,957,Central line to Leyton
Leyton,Leytonstone,960,963,Central line to Leytonstone
Leytonstone,Wanstead,969,970,Central line to Wanstead
Wanstead,Gants Hill,976,1004,Central line to Gants Hill
Redbridge,Gants Hill,1011,1012,Central line to Gants Hill
Gants Hill,Newbury Park,1017,1020,Central line to Newbury Park
Newbury Park,Barkingside,1026,1027,Central line to Barkingside
Barkingside,Fairlop,1036,1037,Central line to Fairlop
Fairlop,Hainault,1041,1043,Central line to Hainault
