label,id,lat,lon
Blackhorse Road,940GZZLUBLR,51.586919,-0.04115
Brixton,940GZZLUBXN,51.462618,-0.114888
Euston,940GZZLUEUS,51.528344,-0.1323
Finsbury Park,940GZZLUFPK,51.564158,-0.106825
Green Park,940GZZLUGPK,51.506947,-0.142787
Highbury & Islington,940GZZLUHAI,51.54635,-0.103324
King's Cross St. Pancras,940GZZLUKSX,51.530663,-0.123194
Oxford Circus,940GZZLUOXC,51.515224,-0.141903
Pimlico,940GZZLUPCO,51.489097,-0.133761
Stockwell,940GZZLUSKW,51.472184,-0.122644
Seven Sisters,940GZZLUSVS,51.58333,-0.072584
Tottenham Hale,940GZZLUTMH,51.588108,-0.060241
Victoria,940GZZLUVIC,51.496359,-0.143102
Vauxhall,940GZZLUVXL,51.485743,-0.124204
Warren Street,940GZZLUWRR,51.524951,-0.138321
Walthamstow Central,940GZZLUWWL,51.582965,-0.019885
